,title,author,resource,genre,place,publisher,date,content,topic,repository
84,Anclas rotas: cuaderno de poesía,"Morales-Pino, Augusto.",text,Poetry,Bogotá,Talleres La Impresora,1937,52 p. ; 17 x 23 cm.,No data,"Widener Library, Harvard University"
85,Vivir para contarla,"García Márquez, Gabriel",text,biography,Bogotá,Grupo Editorial Norma,2002,579 p. ; 24 cm.,Childhood and youth,"Houghton Library, Harvard University"
86,Esposicion del Jeneral Juan C. Falcon a los federalistas,"Falcon, Juan Crisóstomo",text,government publication,Bogota : Imprenta de Echeverria Hermanos,No data,1860,15 p. ; 24 cm.,No data,"Houghton Library, Harvard University"
87,"La venturosa: novela : Gesta de guerrilleros y bravoneles, relato de incubos y súcubos, amores, trasgos y vestiglos","Manrique, Ramón",text,text,Bogotá,Editorial Kelly,1947,363 pages ; 17 cm,No data,"Houghton Library, Harvard University"
88,"Esposición del Comité Revolucionario Federal de Venezuela, establecido en Curazao, a sus compatriotas",Comité Revolucionario Federal de Venezuela,text,government publication,Cartajena,Imprenta de Ruiz y Hijo,1861,72 p. ; 22 cm.,History,"Houghton Library, Harvard University"
89,Mision del jeneral Castelli a Bogota: término de la cuestion sobre quejas del gobierno venezolano al gobierno neo-granadino. Año de 1856,Colombia,text,government publication,Bogota,Imprenta de Echeverría Hermanos,1856,8 p. ; 26 cm.,"Asylum, Right of","Houghton Library, Harvard University"
90,"Método el mas ventajoso, que hasta ahora se ha encontrado para remitir a la memoria, con mayor brevedad y menor molestia; y para mantener en ella con una casi indeleble retentiva, y de consiguiente poder responder en cualquier acto pronta y compendiosamente, sobre las divisiones de las materias morales que escribió el presbítero D. Francisco Santos Grocin","Vargas y Alzate, Antonio José de.",text,Signing patterns (Printing)-Colombia-Bogotá-1831.,Bogotá,Impreso por J.A. Cualla,1831,"XII, 150, [6] p. ; 21 cm. (4to)",Memory,"Houghton Library, Harvard University"
91,El republicano,No data,text,No data,"Bogotá, Colombia",Impr. de El republicano,19uu - 19uu,v. ; 70 cm.,No Data,"Master Microforms, Harvard University"
92,Correo del Cauca,No data,text,No data,"Cali, Colombia",Impr. Comercial,1903 - 1936,33 v. ; 53 cm.,No Data,"Master Microforms, Harvard University"
93,El Colombiano,No data,text,No data,"Medellín, Colombia",F.G. Martinez,1912 - 9999,v. : ill. ; 57 cm.,No data,"Widener Library, Harvard University"
94,Dos nocturnos y otros poemas,"Umaña Bernal, José",text,Poetry,Bogotá,[s.n.],1942,[8] p. ; 36 cm.,No data,"Widener Library, Harvard University"
95,Biologia y distribucion geografica de los Anophelinos en Colombia,"Gast Galvis, Augusto.",text,No data,Bogota,Editorial Cromos,1943,"55 p. : ill., maps ; 25 cm.",Anopheles,Francis A. Countway Library of Medicine
96,Frente unido,"Torres, Camilo",text,No data,Bogotá,Universidad Nacional de Colombia,1965 - 1965,1 v. : ill. ; 46 cm.,Christian socialism,"Widener Library, Harvard University"
97,"Henry Duperly, Cover: el camino del cafe : el album de la Biblioteca Ludlow-Santo Domingo","Duperly, Henry",text,biography,Bogotá,El Chapuzón,2008,47 p. : chiefly ill. ; 15 cm.,History,"Houghton Library, Harvard University"
98,La mansión de Araucaíma y otros relatos,"Mutis, Alvaro.",text,short story,Bogotá,Fundación Mario Santo Domingo,2002,133 p. ; 26 cm.,"Short stories, Colombian","Houghton Library, Harvard University"
99,"Memoria sobre el cultivo, y beneficio de la linaza y cáñamo, sacada de las de Suarez, del Semanario de Agricultura y Artes, y de los Diccionarios de Comercio, y Bomare ; para beneficio de los Pobres que quieran cultibarlos","Umaña, Santiago",text,text,Santafé de Bogotá :,"Imprenta Patriótica de D. Nicolás Calvo,",1811,24 p. ; 20 cm,Flaxseed,"Houghton Library, Harvard University"
100,Cartilla moderna de higiene,Editorial Luis Vives,text,text,Bogotá :,"Libreria Voluntad, S.A.,",1953,32 pages : illustrations ; 17 cm,Hygiene,Francis A. Countway Library of Medicine
101,Instruccion de guerrilla,"San Juan, Felipe de",text,government publication,Mandada reimprimie en Cartagena :,"Por el cuerpo de oficiales del 6. Batallon Ligero, imp. de Jose Casanova,",1832,"75 pages, 1 unnumbered page ; 13 cm",Guerrilla warfare,"Houghton Library, Harvard University"
102,"Republica de Colombia: Simon Bolivar, presidente libertador de la republica, etc. etc. etc","Bolívar, Simón",text,government publication,"[Bogotá, Colombia] :","[publisher not identified],",1826,1 sheet (2 unnumbered pages) ; 31 x 22 cm,History,"Houghton Library, Harvard University"
103,"Republica de Colombia: Simon Bolivar, presidente libertador de la rrpublica, etc. etc. etc","Bolívar, Simón",text,government publication,"[Bogotá, Colombia] :","[publisher not identified],",1826,1 sheet (2 unnumbered pages) ; 31 x 22 cm,History,"Houghton Library, Harvard University"
104,"Republica de Colombia: Simon Bolivar, presidente libertador de la republica, etc. etc. etc","Bolívar, Simón",text,government publication,"[Bogotá, Colombia] :","[publisher not identified],",1826,1 sheet (1 unnumbered page) ; 31 x 22 cm,History,"Houghton Library, Harvard University"
105,"Simon Bolivar, presidente libertador de la Colombia, etc. etc. etc","Bolívar, Simón",text,government publication,"Bogotá, Colombia :","Imp. de M.M. Viller-Calderon,",1826,1 sheet (1 unnumbered page) ; 31 x 22 cm,History,"Houghton Library, Harvard University"
106,Acuerdo final para la terminación del conflicto y la constucción de una paz estable y duradera,Colombia,text,government publication,Bogata,Ministerio de Cultura-Biblioteca Nacional de Colombia,2016,"[2], 283, [7] pages ; 28 cm.",Politics and government,"Harvard Law School Library, Harvard University"
107,El Colombiano,No data,text,No data,"Medellín, Colombia",F.G. Martinez,1912 - 9999,1 online resource,No data,No data
108,Mujer,"Sánchez Sánchez, Alejandra",text,still image,"Bogotá, Colombia :","Ediciones USTA,",2019,[10] leaves : illustrations ; 25 cm,Rites and ceremonies,"Widener Library, Harvard University"
